term	valence	score	raw-score
rejected	negative	-0.65	2.4
sadness	negative	-0.65	2.4
sickness	negative	-0.65	2.4
criticize	negative	-0.6475	2.41
grim	negative	-0.6475	2.41
liar	negative	-0.6475	2.41
unforgiving	negative	-0.6475	2.41
vermin	negative	-0.6475	2.41
abduct	negative	-0.645	2.42
casket	negative	-0.645	2.42
choke	negative	-0.645	2.42
coward	negative	-0.645	2.42
decompose	negative	-0.645	2.42
felony	negative	-0.645	2.42
loathing	negative	-0.645	2.42
plague	negative	-0.645	2.42
shun	negative	-0.645	2.42
toxin	negative	-0.645	2.42
whiplash	negative	-0.645	2.42
brutality	negative	-0.6425	2.43
impoverished	negative	-0.6425	2.43
jerk	negative	-0.6425	2.43
leech	negative	-0.6425	2.43
mean	negative	-0.6425	2.43
noose	negative	-0.6425	2.43
rotten	negative	-0.6425	2.43
depression	negative	-0.64	2.44
dumb	negative	-0.64	2.44
nemesis	negative	-0.64	2.44
sociopath	negative	-0.64	2.44
suffocation	negative	-0.64	2.44
asthma	negative	-0.6375	2.45
constipation	negative	-0.6375	2.45
corpse	negative	-0.6375	2.45
discrimination	negative	-0.6375	2.45
disgrace	negative	-0.6375	2.45
electrocution	negative	-0.6375	2.45
frightened	negative	-0.6375	2.45
frustration	negative	-0.6375	2.45
harassment	negative	-0.6375	2.45
headstone	negative	-0.6375	2.45
heartbreak	negative	-0.6375	2.45
hurt	negative	-0.6375	2.45
injustice	negative	-0.6375	2.45
invasion	negative	-0.6375	2.45
lobotomy	negative	-0.6375	2.45
multiple sclerosis	negative	-0.6375	2.45
pervert	negative	-0.6375	2.45
slander	negative	-0.6375	2.45
snarl	negative	-0.6375	2.45
upset	negative	-0.6375	2.45
agony	negative	-0.635	2.46
cockroach	negative	-0.635	2.46
intruder	negative	-0.635	2.46
bleed	negative	-0.6325	2.47
bomb	negative	-0.6325	2.47
brokenhearted	negative	-0.6325	2.47
cripple	negative	-0.6325	2.47
depress	negative	-0.6325	2.47
disqualify	negative	-0.6325	2.47
emphysema	negative	-0.6325	2.47
glaucoma	negative	-0.6325	2.47
hex	negative	-0.6325	2.47
mad	negative	-0.6325	2.47
outbreak	negative	-0.6325	2.47
profane	negative	-0.6325	2.47
revolting	negative	-0.6325	2.47
toxicity	negative	-0.6325	2.47
ugly	negative	-0.6325	2.47
aggravation	negative	-0.63	2.48
carsick	negative	-0.63	2.48
depressing	negative	-0.63	2.48
greed	negative	-0.63	2.48
hernia	negative	-0.63	2.48
imprison	negative	-0.63	2.48
indigestion	negative	-0.63	2.48
lethal	negative	-0.63	2.48
malnutrition	negative	-0.63	2.48
miscarriage	negative	-0.63	2.48
scumbag	negative	-0.63	2.48
slob	negative	-0.63	2.48
alcoholic	negative	-0.6275	2.49
annoy	negative	-0.6275	2.49
divorce	negative	-0.6275	2.49
abomination	negative	-0.625	2.5
aneurysm	negative	-0.625	2.5
anger	negative	-0.625	2.5
arsonist	negative	-0.625	2.5
cyst	negative	-0.625	2.5
fascism	negative	-0.625	2.5
gangrene	negative	-0.625	2.5
germ	negative	-0.625	2.5
hangover	negative	-0.625	2.5
inoperable	negative	-0.625	2.5
irresponsible	negative	-0.625	2.5
junkie	negative	-0.625	2.5
rage	negative	-0.625	2.5
scornful	negative	-0.625	2.5
terrorize	negative	-0.625	2.5
turd	negative	-0.625	2.5
shamed	negative	-0.6225	2.51
terrified	negative	-0.6225	2.51
arrogant	negative	-0.62	2.52
ashamed	negative	-0.62	2.52
bankruptcy	negative	-0.62	2.52
betray	negative	-0.62	2.52
creepy	negative	-0.62	2.52
displeasure	negative	-0.62	2.52
dispute	negative	-0.62	2.52
expulsion	negative	-0.62	2.52
jeering	negative	-0.62	2.52
negative	negative	-0.62	2.52
paralyze	negative	-0.62	2.52
phlegm	negative	-0.62	2.52
phony	negative	-0.62	2.52
poisonous	negative	-0.62	2.52
psoriasis	negative	-0.62	2.52
pus	negative	-0.62	2.52
thug	negative	-0.62	2.52
toothless	negative	-0.62	2.52
alienation	negative	-0.6175	2.53
angry	negative	-0.6175	2.53
destruction	negative	-0.6175	2.53
illegal	negative	-0.6175	2.53
itchy	negative	-0.6175	2.53
lost	negative	-0.6175	2.53
scam	negative	-0.6175	2.53
sickening	negative	-0.6175	2.53
snob	negative	-0.6175	2.53
starve	negative	-0.6175	2.53
stingy	negative	-0.6175	2.53
sweatshop	negative	-0.6175	2.53
torment	negative	-0.6175	2.53
unpleasant	negative	-0.6175	2.53
vengeance	negative	-0.6175	2.53
accident	negative	-0.6125	2.55
aggravate	negative	-0.6125	2.55
arrogance	negative	-0.6125	2.55
bitch	negative	-0.6125	2.55
blindness	negative	-0.6125	2.55
bloodthirsty	negative	-0.6125	2.55
delinquency	negative	-0.6125	2.55
desperation	negative	-0.6125	2.55
frustrated	negative	-0.6125	2.55
hell	negative	-0.6125	2.55
insane	negative	-0.6125	2.55
meningitis	negative	-0.6125	2.55
meth	negative	-0.6125	2.55
monster	negative	-0.6125	2.55
orphaned	negative	-0.6125	2.55
overcrowded	negative	-0.6125	2.55
penniless	negative	-0.6125	2.55
salmonella	negative	-0.6125	2.55
slum	negative	-0.6125	2.55
slut	negative	-0.6125	2.55
